region,rain_yesterday_bucket,month,poor_pct,avg_enterococci,samples
Western Shore,Dry (0mm),1,6.45,51.78,124
Western Shore,Dry (0mm),2,2.78,36.11,108
Western Shore,Dry (0mm),3,0.0,27.78,54
Western Shore,Dry (0mm),4,7.5,114.85,40
Western Shore,Dry (0mm),5,5.56,47.28,36
Western Shore,Dry (0mm),6,0.0,35.61,36
Western Shore,Dry (0mm),7,16.67,56.83,6
Western Shore,Dry (0mm),8,0.0,9.56,18
Western Shore,Dry (0mm),9,2.78,27.14,36
Western Shore,Dry (0mm),10,10.0,285.33,30
Western Shore,Dry (0mm),11,0.0,10.89,19
Western Shore,Dry (0mm),12,10.75,82.67,93
Western Shore,Light (<5mm),1,16.67,108.29,24
Western Shore,Light (<5mm),2,0.0,18.68,31
Western Shore,Light (<5mm),3,4.17,31.92,24
Western Shore,Light (<5mm),4,7.69,71.38,13
Western Shore,Light (<5mm),5,0.0,12.67,6
Western Shore,Light (<5mm),6,16.67,97.17,6
Western Shore,Light (<5mm),7,0.0,13.83,18
Western Shore,Light (<5mm),8,0.0,6.67,6
Western Shore,Light (<5mm),9,16.67,99.83,12
Western Shore,Light (<5mm),10,23.08,150.54,13
Western Shore,Light (<5mm),11,12.12,141.67,33
Western Shore,Light (<5mm),12,11.43,210.69,35
Western Shore,Moderate (5-20mm),1,10.0,88.15,20
Western Shore,Moderate (5-20mm),2,0.0,26.75,12
Western Shore,Moderate (5-20mm),3,42.86,257.14,7
Western Shore,Moderate (5-20mm),4,14.29,80.86,7
Western Shore,Moderate (5-20mm),5,0.0,39.83,6
Western Shore,Moderate (5-20mm),6,0.0,48.0,6
Western Shore,Moderate (5-20mm),7,,,0
Western Shore,Moderate (5-20mm),8,,,0
Western Shore,Moderate (5-20mm),9,,,0
Western Shore,Moderate (5-20mm),10,0.0,21.33,12
Western Shore,Moderate (5-20mm),11,10.53,443.42,19
Western Shore,Moderate (5-20mm),12,21.05,209.63,19
Western Shore,Heavy (20mm+),1,8.33,83.92,12
Western Shore,Heavy (20mm+),2,,,0
Western Shore,Heavy (20mm+),3,,,0
Western Shore,Heavy (20mm+),4,,,0
Western Shore,Heavy (20mm+),5,,,0
Western Shore,Heavy (20mm+),6,,,0
Western Shore,Heavy (20mm+),7,,,0
Western Shore,Heavy (20mm+),8,,,0
Western Shore,Heavy (20mm+),9,,,0
Western Shore,Heavy (20mm+),10,0.0,11.67,6
Western Shore,Heavy (20mm+),11,,,0
Western Shore,Heavy (20mm+),12,,,0
Mornington Peninsula,Dry (0mm),1,4.14,42.5,169
Mornington Peninsula,Dry (0mm),2,1.32,21.55,152
Mornington Peninsula,Dry (0mm),3,2.5,76.75,80
Mornington Peninsula,Dry (0mm),4,17.78,491.02,45
Mornington Peninsula,Dry (0mm),5,2.22,49.42,45
Mornington Peninsula,Dry (0mm),6,4.17,211.04,48
Mornington Peninsula,Dry (0mm),7,22.22,104.22,9
Mornington Peninsula,Dry (0mm),8,7.41,57.96,27
Mornington Peninsula,Dry (0mm),9,1.85,57.8,54
Mornington Peninsula,Dry (0mm),10,8.89,129.2,45
Mornington Peninsula,Dry (0mm),11,7.41,67.44,27
Mornington Peninsula,Dry (0mm),12,16.42,269.77,134
Mornington Peninsula,Light (<5mm),1,2.78,44.06,36
Mornington Peninsula,Light (<5mm),2,4.55,34.23,44
Mornington Peninsula,Light (<5mm),3,0.0,20.69,26
Mornington Peninsula,Light (<5mm),4,3.7,29.85,27
Mornington Peninsula,Light (<5mm),5,0.0,28.22,9
Mornington Peninsula,Light (<5mm),6,22.22,299.28,18
Mornington Peninsula,Light (<5mm),7,0.0,26.81,26
Mornington Peninsula,Light (<5mm),8,0.0,15.44,9
Mornington Peninsula,Light (<5mm),9,16.67,99.22,18
Mornington Peninsula,Light (<5mm),10,11.11,57.56,18
Mornington Peninsula,Light (<5mm),11,43.18,547.93,44
Mornington Peninsula,Light (<5mm),12,19.61,156.47,51
Mornington Peninsula,Moderate (5-20mm),1,0.0,19.14,28
Mornington Peninsula,Moderate (5-20mm),2,3.7,45.07,27
Mornington Peninsula,Moderate (5-20mm),3,33.33,219.0,9
Mornington Peninsula,Moderate (5-20mm),4,0.0,13.56,9
Mornington Peninsula,Moderate (5-20mm),5,,,0
Mornington Peninsula,Moderate (5-20mm),6,22.22,111.78,9
Mornington Peninsula,Moderate (5-20mm),7,,,0
Mornington Peninsula,Moderate (5-20mm),8,,,0
Mornington Peninsula,Moderate (5-20mm),9,,,0
Mornington Peninsula,Moderate (5-20mm),10,0.0,19.44,18
Mornington Peninsula,Moderate (5-20mm),11,11.11,153.74,27
Mornington Peninsula,Moderate (5-20mm),12,25.93,252.48,27
Mornington Peninsula,Heavy (20mm+),1,0.0,57.44,18
Mornington Peninsula,Heavy (20mm+),2,,,0
Mornington Peninsula,Heavy (20mm+),3,,,0
Mornington Peninsula,Heavy (20mm+),4,,,0
Mornington Peninsula,Heavy (20mm+),5,,,0
Mornington Peninsula,Heavy (20mm+),6,,,0
Mornington Peninsula,Heavy (20mm+),7,,,0
Mornington Peninsula,Heavy (20mm+),8,,,0
Mornington Peninsula,Heavy (20mm+),9,,,0
Mornington Peninsula,Heavy (20mm+),10,0.0,5.56,9
Mornington Peninsula,Heavy (20mm+),11,,,0
Mornington Peninsula,Heavy (20mm+),12,,,0
Eastern Bayside,Dry (0mm),1,6.64,85.27,226
Eastern Bayside,Dry (0mm),2,2.93,42.07,205
Eastern Bayside,Dry (0mm),3,10.0,65.36,110
Eastern Bayside,Dry (0mm),4,26.98,897.98,63
Eastern Bayside,Dry (0mm),5,6.67,131.2,60
Eastern Bayside,Dry (0mm),6,8.33,65.32,60
Eastern Bayside,Dry (0mm),7,58.33,1148.08,12
Eastern Bayside,Dry (0mm),8,11.11,193.0,36
Eastern Bayside,Dry (0mm),9,8.33,121.15,72
Eastern Bayside,Dry (0mm),10,5.0,315.58,60
Eastern Bayside,Dry (0mm),11,2.78,32.33,36
Eastern Bayside,Dry (0mm),12,19.1,176.65,178
Eastern Bayside,Light (<5mm),1,14.89,131.7,47
Eastern Bayside,Light (<5mm),2,3.33,28.08,60
Eastern Bayside,Light (<5mm),3,0.0,19.25,36
Eastern Bayside,Light (<5mm),4,5.41,44.19,37
Eastern Bayside,Light (<5mm),5,8.33,81.17,12
Eastern Bayside,Light (<5mm),6,25.0,1270.5,24
Eastern Bayside,Light (<5mm),7,2.7,43.38,37
Eastern Bayside,Light (<5mm),8,8.33,162.08,12
Eastern Bayside,Light (<5mm),9,20.83,100.75,24
Eastern Bayside,Light (<5mm),10,22.22,219.44,18
Eastern Bayside,Light (<5mm),11,31.03,244.95,58
Eastern Bayside,Light (<5mm),12,16.9,184.08,71
Eastern Bayside,Moderate (5-20mm),1,7.89,47.61,38
Eastern Bayside,Moderate (5-20mm),2,2.78,38.67,36
Eastern Bayside,Moderate (5-20mm),3,33.33,248.58,12
Eastern Bayside,Moderate (5-20mm),4,0.0,24.92,12
Eastern Bayside,Moderate (5-20mm),5,,,0
Eastern Bayside,Moderate (5-20mm),6,41.67,370.92,12
Eastern Bayside,Moderate (5-20mm),7,,,0
Eastern Bayside,Moderate (5-20mm),8,,,0
Eastern Bayside,Moderate (5-20mm),9,,,0
Eastern Bayside,Moderate (5-20mm),10,4.17,54.79,24
Eastern Bayside,Moderate (5-20mm),11,25.0,201.06,36
Eastern Bayside,Moderate (5-20mm),12,33.33,192.42,36
Eastern Bayside,Heavy (20mm+),1,25.0,379.08,24
Eastern Bayside,Heavy (20mm+),2,,,0
Eastern Bayside,Heavy (20mm+),3,,,0
Eastern Bayside,Heavy (20mm+),4,,,0
Eastern Bayside,Heavy (20mm+),5,,,0
Eastern Bayside,Heavy (20mm+),6,,,0
Eastern Bayside,Heavy (20mm+),7,,,0
Eastern Bayside,Heavy (20mm+),8,,,0
Eastern Bayside,Heavy (20mm+),9,,,0
Eastern Bayside,Heavy (20mm+),10,0.0,22.33,12
Eastern Bayside,Heavy (20mm+),11,,,0
Eastern Bayside,Heavy (20mm+),12,,,0
Inner North,Dry (0mm),1,5.39,51.58,167
Inner North,Dry (0mm),2,5.26,59.13,152
Inner North,Dry (0mm),3,7.59,260.23,79
Inner North,Dry (0mm),4,20.0,514.47,45
Inner North,Dry (0mm),5,13.33,99.11,45
Inner North,Dry (0mm),6,4.44,46.18,45
Inner North,Dry (0mm),7,77.78,1392.78,9
Inner North,Dry (0mm),8,3.7,43.81,27
Inner North,Dry (0mm),9,9.26,108.56,54
Inner North,Dry (0mm),10,4.44,99.84,45
Inner North,Dry (0mm),11,0.0,32.81,27
Inner North,Dry (0mm),12,19.08,203.24,131
Inner North,Light (<5mm),1,34.29,441.31,35
Inner North,Light (<5mm),2,0.0,16.0,44
Inner North,Light (<5mm),3,0.0,17.07,27
Inner North,Light (<5mm),4,3.45,37.48,29
Inner North,Light (<5mm),5,0.0,7.78,9
Inner North,Light (<5mm),6,5.56,32.17,18
Inner North,Light (<5mm),7,0.0,7.54,28
Inner North,Light (<5mm),8,11.11,62.78,9
Inner North,Light (<5mm),9,33.33,241.22,18
Inner North,Light (<5mm),10,0.0,15.44,9
Inner North,Light (<5mm),11,33.33,253.09,45
Inner North,Light (<5mm),12,7.55,68.21,53
Inner North,Moderate (5-20mm),1,3.57,71.57,28
Inner North,Moderate (5-20mm),2,0.0,35.07,27
Inner North,Moderate (5-20mm),3,0.0,64.44,9
Inner North,Moderate (5-20mm),4,33.33,337.33,9
Inner North,Moderate (5-20mm),5,,,0
Inner North,Moderate (5-20mm),6,55.56,314.11,9
Inner North,Moderate (5-20mm),7,,,0
Inner North,Moderate (5-20mm),8,,,0
Inner North,Moderate (5-20mm),9,,,0
Inner North,Moderate (5-20mm),10,5.56,41.06,18
Inner North,Moderate (5-20mm),11,40.74,704.56,27
Inner North,Moderate (5-20mm),12,51.85,341.07,27
Inner North,Heavy (20mm+),1,38.89,873.83,18
Inner North,Heavy (20mm+),2,,,0
Inner North,Heavy (20mm+),3,,,0
Inner North,Heavy (20mm+),4,,,0
Inner North,Heavy (20mm+),5,,,0
Inner North,Heavy (20mm+),6,,,0
Inner North,Heavy (20mm+),7,,,0
Inner North,Heavy (20mm+),8,,,0
Inner North,Heavy (20mm+),9,,,0
Inner North,Heavy (20mm+),10,22.22,268.56,9
Inner North,Heavy (20mm+),11,,,0
Inner North,Heavy (20mm+),12,,,0
