site_ID,site_name,water_body,latitude,longitude
99020,Port Melbourne,Port Phillip Bay,-37.843866,144.937766
99060,Hampton,Port Phillip Bay,-37.938,144.997116
99070,Half Moon Bay,Port Phillip Bay,-37.968566,145.011066
99100,Mentone,Port Phillip Bay,-37.9891,145.058733
99160,Seaford,Port Phillip Bay,-38.103316,145.12455
99170,Frankston Surf Life Saving Club,Port Phillip Bay,-38.142333,145.11854
99240,Safety Beach,Port Phillip Bay,-38.311266,144.992366
99280,Blairgowrie,Port Phillip Bay,-38.36095,144.781716
99290,Sorrento,Port Phillip Bay,-38.343516,144.7528
99520,Portsea,Port Phillip Bay,-38.318983,144.713816
99530,Rye,Port Phillip Bay,-38.370183,144.8321
99550,Dromana,Port Phillip Bay,-38.332033,144.964633
99580,Canadian Bay,Port Phillip Bay,-38.17175,145.083083
99590,Frankston Coast Guard,Port Phillip Bay,-38.147043,145.115502
99620,Mordialloc,Port Phillip Bay,-38.008817,145.0833
99630,Sandringham,Port Phillip Bay,-37.950796,145.001354
99650,Elwood,Port Phillip Bay,-37.889061,144.983613
99660,St Kilda,Port Phillip Bay,-37.868166,144.974033
99690,Sandridge,Port Phillip Bay,-37.840033,144.9164124
99700,Williamstown,Port Phillip Bay,-37.867962,144.893233
99710,Altona,Port Phillip Bay,-37.871066,144.83125
99990,Beaumaris,Port Phillip Bay,-37.994966,145.03275
99991,Brighton Life Saving Club,Port Phillip Bay,-37.917297,144.986083
99992,Mornington Life Saving Club,Port Phillip Bay,-38.21363,145.044181
99993,Rosebud Life Saving Club,Port Phillip Bay,-38.347306,144.92806
99994,Mt Martha Life Saving Club,Port Phillip Bay,-38.265248,145.013913
99995,Carrum Surf Life Saving Club,Port Phillip Bay,-38.076393,145.12064
99996,Aspendale Life Saving Club,Port Phillip Bay,-38.028173,145.100253
99997,South Melbourne Life Saving Club,Port Phillip Bay,-37.847497,144.94625
99999,Black Rock Life Saving Club,Port Phillip Bay,-37.974777,145.014242
99500,The Dell,Port Phillip Bay,-38.152496,144.563007
99510,Eastern Beach,Port Phillip Bay,-38.146666,144.37085
99730,Werribee Sth,Port Phillip Bay,-37.974916,144.692783
99761,Portarlington Beach (new site),Port Phillip Bay,-38.112672,144.650817
99770,St Leonards,Port Phillip Bay,-38.170783,144.719166
99998,Santa Casa,Port Phillip Bay,-38.272293,144.648588